,accuracy,precision,recall,f1_score,auc
ResNet50,0.6602564102564102,0.6566901408450704,0.9564102564102565,0.778705636743215,0.8433267587113741
VGG16,0.8990384615384616,0.8883610451306413,0.958974358974359,0.9223181257706535,0.9607823800131492
EfficientNetB0,0.625,0.625,1.0,0.7692307692307693,0.5117137847907078
